                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77303,                0.50505,                0.98417,                 0.7175,                 0.9898,                0.76288,                0.58384,                0.86531,                 1.3582,                0.98489,              0.0010894,              0.0010894,              0.0010894
                     37,                0.76015,                0.49196,                0.97124,                0.71124,                 0.9898,                0.72023,                 0.5402,                0.83934,                 1.3033,                0.99642,              0.0010729,              0.0010729,              0.0010729
                     38,                0.75108,                0.49593,                0.97554,                0.70009,                 0.9898,                0.70323,                0.52523,                0.90106,                 1.3653,                 1.0009,              0.0010564,              0.0010564,              0.0010564
                     39,                0.75061,                0.48734,                0.96852,                0.72068,                 0.9898,                0.93355,                0.72551,                0.82881,                 1.1169,                0.96756,              0.0010399,              0.0010399,              0.0010399
                     40,                0.75378,                0.49891,                0.96978,                0.72039,                 0.9898,                0.76277,                0.57568,                0.90404,                 1.1959,                 1.0047,              0.0010234,              0.0010234,              0.0010234
                     41,                0.75459,                0.48648,                0.97173,                0.71725,                0.99794,                0.84369,                0.61611,                 0.9043,                 1.1388,                 1.0072,              0.0010069,              0.0010069,              0.0010069
                     42,                0.74327,                 0.4877,                0.96691,                0.69019,                      1,                0.75816,                0.56739,                0.90475,                 1.3258,                 1.0119,             0.00099036,             0.00099036,             0.00099036
                     43,                0.74385,                0.48345,                0.96788,                0.72132,                 0.9898,                0.72222,                0.55971,                0.82958,                0.99059,                0.97206,             0.00097386,             0.00097386,             0.00097386
                     44,                0.75574,                0.48772,                0.97227,                0.67975,                0.89796,                0.69034,                0.50404,                0.92918,                 1.2219,                 1.0121,             0.00095736,             0.00095736,             0.00095736
                     45,                0.73279,                0.48261,                0.95888,                0.68224,                0.89796,                0.67841,                0.48541,                 1.0428,                 1.5018,                 1.0845,             0.00094085,             0.00094085,             0.00094085
                     46,                0.74042,                0.46517,                0.95671,                0.72327,                 0.9898,                0.87065,                0.69149,                 0.8338,                0.73798,                0.99897,             0.00092435,             0.00092435,             0.00092435
                     47,                0.71848,                0.46015,                0.96172,                0.70438,                 0.9898,                 0.7269,                 0.5503,                0.82081,                 1.1101,                0.97944,             0.00090785,             0.00090785,             0.00090785
                     48,                0.71906,                0.46885,                0.95378,                0.71459,                 0.9898,                0.80325,                0.61363,                0.86978,                 0.6617,                0.99501,             0.00089134,             0.00089134,             0.00089134
                     49,                0.73717,                0.46398,                  0.959,                0.72349,                 0.9898,                 0.8958,                0.67101,                0.91815,                0.81209,                 1.0195,             0.00087484,             0.00087484,             0.00087484
                     50,                0.71101,                0.46175,                0.95037,                0.71901,                 0.9898,                0.81441,                 0.6081,                 0.9294,                 1.1589,                 1.0302,             0.00085834,             0.00085834,             0.00085834
                     51,                0.72605,                0.46005,                0.96548,                0.69612,                 0.9898,                0.94213,                0.69679,                 0.9137,                0.87444,                 1.0303,             0.00084184,             0.00084184,             0.00084184
                     52,                0.72714,                0.46549,                0.95387,                0.64099,                 0.9898,                0.82925,                0.60495,                0.97744,                 1.1639,                   1.05,             0.00082533,             0.00082533,             0.00082533
                     53,                 0.7185,                0.45316,                0.95811,                0.61592,                 0.9898,                0.73613,                 0.5504,                0.97423,                 1.5409,                 1.0292,             0.00080883,             0.00080883,             0.00080883
                     54,                0.72427,                0.46533,                0.96535,                 0.7211,                0.97924,                 0.8155,                0.57087,                0.97603,                  1.158,                 1.0155,             0.00079233,             0.00079233,             0.00079233
                     55,                0.71271,                0.45801,                0.95913,                0.72031,                 0.9898,                0.75491,                0.52791,                0.96249,                 1.3724,                 1.0111,             0.00077582,             0.00077582,             0.00077582
                     56,                0.70001,                 0.4432,                0.94667,                0.72141,                 0.9898,                0.77353,                0.56674,                0.91129,                 1.1699,                 1.0139,             0.00075932,             0.00075932,             0.00075932
                     57,                0.67323,                0.43115,                0.94127,                0.71958,                 0.9898,                0.90096,                0.69227,                0.83683,                 1.0447,                0.98364,             0.00074282,             0.00074282,             0.00074282
                     58,                0.70101,                0.44367,                 0.9538,                 0.7219,                 0.9898,                0.72059,                0.55566,                0.87244,                 1.1183,                 0.9877,             0.00072631,             0.00072631,             0.00072631
                     59,                0.67881,                0.43754,                0.94553,                0.72032,                 0.9898,                0.71952,                0.53254,                0.82795,                 1.3332,                0.97721,             0.00070981,             0.00070981,             0.00070981
                     60,                0.68757,                0.44097,                0.94719,                0.71265,                 0.9898,                0.72836,                0.55292,                 0.9026,                0.95976,                 1.0098,             0.00069331,             0.00069331,             0.00069331
                     61,                0.68174,                0.43979,                0.94106,                0.68301,                      1,                0.92532,                0.68106,                0.91289,                 1.0474,                 1.0197,              0.0006768,              0.0006768,              0.0006768
