                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                   1.22,                0.89714,                 1.2529,                0.97012,                0.71407,                0.79602,                0.49634,                 1.1702,                0.87319,                  1.192,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2258,                 0.8385,                 1.2629,                0.95045,                0.70366,                0.80422,                0.45177,                  1.321,                0.99757,                 1.2894,             0.00087484,             0.00087484,             0.00087484
                     50,                  1.232,                0.87028,                 1.2689,                0.92302,                0.92836,                0.94193,                0.46504,                 1.4658,                0.88371,                 1.3535,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2151,                 0.8792,                 1.2737,                0.78468,                0.88754,                 0.9127,                0.44994,                 1.5386,                0.90403,                 1.4334,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2439,                0.88469,                 1.2553,                0.95328,                0.64116,                0.73413,                0.45395,                 1.2444,                 1.3403,                 1.2661,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1674,                0.80356,                  1.222,                0.94881,                0.67241,                0.72815,                0.46173,                 1.1662,                 1.1187,                 1.2039,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2627,                0.81912,                  1.307,                0.97009,                0.66199,                0.70211,                0.42909,                 1.3025,                 1.1183,                 1.2657,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1429,                0.78398,                 1.2078,                0.97655,                0.68282,                 0.7487,                0.43555,                  1.236,                 1.1042,                 1.2237,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1753,                0.84046,                 1.2473,                0.97015,                0.68866,                0.80732,                0.42519,                 1.5577,                 1.0681,                 1.4598,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.1484,                0.80901,                 1.2043,                0.93995,                0.66199,                0.75279,                0.35524,                  1.698,                 1.2815,                 1.5511,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1713,                0.80269,                 1.2208,                0.87601,                0.80183,                0.90114,                 0.4828,                 1.6216,                 1.0194,                 1.3432,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1374,                0.79841,                 1.2082,                 0.9671,                0.68753,                0.85661,                0.44724,                 1.7606,                 1.1252,                 1.4264,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1061,                0.76171,                 1.2096,                 0.9307,                0.95422,                0.96034,                0.49785,                 1.5639,                0.81924,                 1.3668,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1819,                0.78191,                 1.2259,                0.88006,                0.90795,                0.94614,                0.47739,                 1.5406,                 0.9721,                 1.3858,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1131,                0.74153,                  1.186,                0.82344,                0.90774,                0.95047,                0.55151,                 1.2249,                0.77413,                 1.2025,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1044,                 0.7405,                 1.1872,                0.92315,                0.98195,                0.98135,                0.52916,                  1.379,                0.81751,                 1.2543,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1519,                0.77393,                 1.2129,                0.88035,                0.95966,                0.98188,                0.53037,                 1.3204,                0.76346,                 1.2536,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0986,                0.73851,                 1.2093,                0.86927,                0.91302,                0.94081,                0.50126,                 1.4348,                0.87408,                 1.3326,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0635,                0.74054,                 1.1729,                0.71201,                0.88486,                0.82863,                0.48197,                 1.4457,                0.97405,                 1.3461,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1211,                0.72614,                 1.2023,                0.98096,                0.67177,                0.88039,                0.48937,                 1.3365,                0.87639,                 1.2804,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1205,                0.74627,                 1.2179,                0.87783,                0.88327,                0.93557,                0.51684,                  1.417,                0.85359,                 1.3406,             0.00056128,             0.00056128,             0.00056128
                     69,                  1.132,                0.78787,                 1.2285,                0.98242,                0.68282,                0.80979,                0.45215,                 1.4983,                 1.1232,                 1.3287,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0595,                0.67893,                 1.1574,                0.87147,                0.87691,                0.92029,                0.51384,                 1.4168,                0.84806,                 1.3501,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0521,                 0.7019,                 1.1549,                0.97402,                 0.6914,                0.73222,                0.46953,                 1.4121,                 1.1203,                 1.4568,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.0923,                0.69922,                 1.1811,                0.94958,                0.70188,                0.78704,                 0.4793,                 1.3303,                0.94156,                 1.3487,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0575,                0.71032,                 1.1699,                0.87057,                0.92417,                0.91434,                0.47606,                 1.4691,                 0.6777,                 1.4401,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0693,                0.68776,                 1.1635,                0.84823,                0.86713,                0.88504,                0.50617,                 1.4376,                0.77704,                 1.4386,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0356,                0.67668,                 1.1518,                0.89756,                0.83732,                0.90888,                0.49103,                 1.4322,                0.90353,                 1.3708,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0763,                0.69836,                 1.1885,                  0.889,                0.91482,                0.92198,                 0.5034,                 1.4523,                0.82536,                 1.3722,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0727,                0.66408,                 1.1569,                0.88522,                0.93467,                0.93037,                0.51379,                 1.3827,                0.71963,                 1.3713,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0346,                0.66381,                 1.1599,                0.92671,                0.96918,                0.96179,                0.50035,                  1.523,                0.69985,                 1.3902,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0738,                0.68377,                 1.1639,                0.93509,                0.95897,                0.95258,                0.54636,                 1.4097,                0.73353,                 1.3471,             0.00037974,             0.00037974,             0.00037974
                     80,                0.99791,                0.65132,                 1.1418,                 0.8924,                0.87814,                0.93921,                0.49867,                 1.5062,                 1.0487,                 1.3559,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.0538,                0.69398,                  1.161,                0.93975,                0.95092,                0.96026,                0.52658,                 1.4176,                0.75151,                  1.341,             0.00034674,             0.00034674,             0.00034674
                     82,                  1.075,                0.68656,                 1.1947,                0.98328,                0.70366,                0.87657,                0.47924,                  1.443,                0.87109,                 1.3589,             0.00033023,             0.00033023,             0.00033023
                     83,                0.99914,                 0.6385,                 1.1322,                0.91563,                0.81611,                0.89718,                 0.5074,                 1.3705,                0.86128,                 1.3452,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.0188,                0.65631,                 1.1598,                0.92591,                0.93856,                0.97385,                0.51489,                  1.508,                0.85721,                 1.3951,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.0043,                0.68427,                 1.1668,                0.93817,                 0.9592,                0.97344,                0.51031,                 1.4884,                0.88312,                 1.3625,             0.00028072,             0.00028072,             0.00028072
                     86,                0.98471,                0.61043,                 1.1353,                0.92603,                0.94105,                0.96289,                  0.491,                 1.4683,                0.88366,                 1.3287,             0.00026422,             0.00026422,             0.00026422
                     87,                0.96641,                  0.621,                 1.1134,                0.91427,                0.95897,                0.95594,                0.53345,                 1.2757,                0.74549,                 1.2765,             0.00024772,             0.00024772,             0.00024772
                     88,                0.99274,                0.63154,                 1.1383,                0.93346,                0.96918,                0.96238,                0.54331,                 1.3334,                0.65224,                 1.3287,             0.00023121,             0.00023121,             0.00023121
                     89,                0.98733,                0.64145,                  1.147,                0.96354,                0.95702,                0.97143,                0.54789,                 1.3929,                0.60169,                 1.3819,             0.00021471,             0.00021471,             0.00021471
                     90,                0.96831,                0.62552,                 1.1326,                0.93523,                0.97938,                0.97157,                 0.5203,                 1.4492,                0.70883,                 1.3908,             0.00019821,             0.00019821,             0.00019821
                     91,                0.88546,                0.47801,                 1.0751,                0.89999,                0.96165,                0.96233,                0.50739,                 1.4194,                0.72384,                 1.3764,              0.0001817,              0.0001817,              0.0001817
                     92,                0.84786,                0.47558,                 1.0601,                0.92452,                0.87744,                0.93165,                0.51892,                  1.437,                0.73355,                 1.3624,              0.0001652,              0.0001652,              0.0001652
                     93,                0.85779,                0.44758,                 1.0459,                0.88993,                0.84673,                0.88331,                0.50175,                 1.4682,                0.74797,                 1.3848,              0.0001487,              0.0001487,              0.0001487
                     94,                0.85053,                0.44241,                 1.0606,                0.90786,                0.84323,                0.90881,                0.51536,                  1.427,                0.76763,                 1.3607,             0.00013219,             0.00013219,             0.00013219
                     95,                0.87276,                0.46115,                 1.0601,                0.88865,                0.87125,                0.93691,                0.53615,                 1.3388,                0.73664,                 1.3292,             0.00011569,             0.00011569,             0.00011569
                     96,                0.84659,                0.44026,                 1.0603,                0.88841,                0.92836,                0.94436,                 0.5301,                 1.3554,                0.71148,                 1.3473,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.82435,                 0.4362,                 1.0513,                0.93835,                0.95369,                0.96196,                0.53137,                 1.3758,                0.65624,                 1.3695,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.80062,                0.43563,                 1.0167,                0.94477,                0.97938,                0.96735,                0.53057,                 1.3737,                 0.6016,                 1.3775,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.80789,                0.42991,                 1.0392,                0.94207,                0.97938,                 0.9685,                0.53158,                 1.3759,                0.64562,                 1.3663,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.82622,                0.42803,                 1.0313,                 0.9227,                0.96509,                0.96452,                0.52967,                  1.392,                0.66676,                 1.3735,             3.3173e-05,             3.3173e-05,             3.3173e-05
