                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4756,                 4.0323,                 2.2849,                0.00299,                0.82632,                0.08268,                0.02845,                 2.2669,                  5.007,                 1.9579,             0.00038341,             0.00038341,             0.00038341
                      2,                 1.8592,                 3.1451,                 1.6867,                0.00329,                0.97917,                0.15509,                0.05298,                 1.8841,                 4.0227,                 1.6677,             0.00077573,             0.00077573,             0.00077573
                      3,                  1.811,                 2.8769,                 1.6709,                0.27907,                0.45344,                0.30891,                0.11638,                 1.9442,                 3.7466,                 1.8995,              0.0011601,              0.0011601,              0.0011601
                      4,                 1.7901,                 2.8394,                 1.6271,                0.36625,                0.50383,                0.39434,                0.18785,                 1.8989,                 4.3215,                 1.6436,              0.0015366,              0.0015366,              0.0015366
                      5,                 1.7428,                 2.5473,                 1.6156,                0.17924,                0.11288,                0.07299,                0.01667,                 2.9284,                 3.9162,                 2.4835,               0.001601,               0.001601,               0.001601
                      6,                 1.7414,                 2.3634,                 1.5724,                0.17199,                0.35884,                0.08644,                0.03595,                 2.6172,                 6.3437,                 2.5368,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.689,                 2.1998,                 1.5546,                0.72839,                0.57686,                0.54077,                0.22108,                 1.8623,                 3.1389,                 1.6777,               0.001568,               0.001568,               0.001568
                      8,                 1.6608,                 2.1676,                 1.5196,                0.16978,                0.21535,                0.17299,                0.08224,                 1.8092,                 3.4996,                 1.6371,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.6292,                 2.0197,                 1.5078,                0.72252,                0.41263,                0.56009,                0.24116,                 1.7519,                 2.3517,                 1.4829,               0.001535,               0.001535,               0.001535
                     10,                 1.6219,                 1.8788,                 1.5281,                 0.4985,                0.40423,                0.34924,                0.12042,                 1.8758,                 2.9291,                 1.7455,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.6604,                 1.8088,                  1.519,                0.73238,                 0.3497,                0.38191,                0.10682,                 2.4921,                 2.7555,                 2.1054,               0.001502,               0.001502,               0.001502
                     12,                  1.552,                 1.7037,                  1.462,                0.68718,                0.46909,                 0.5408,                0.22509,                 2.0749,                  2.642,                 1.6767,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4956,                 1.6076,                  1.462,                0.90149,                0.59982,                0.72708,                0.37364,                 1.4251,                 1.5857,                 1.2787,               0.001469,               0.001469,               0.001469
                     14,                 1.5154,                  1.571,                 1.4449,                0.49382,                0.55782,                0.49896,                0.19164,                 2.0777,                 2.0848,                 1.6598,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.4936,                 1.5894,                 1.4471,                0.87928,                0.53699,                0.64044,                0.28385,                   1.97,                 2.1545,                 1.6911,               0.001436,               0.001436,               0.001436
                     16,                  1.493,                 1.4501,                 1.4284,                0.79699,                0.45536,                 0.5655,                0.20298,                 2.1843,                 2.2248,                 1.7295,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5167,                  1.502,                  1.443,                0.80952,                0.56845,                0.60409,                0.26455,                 2.2588,                 1.8691,                 1.9933,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.4584,                 1.3972,                 1.3931,                0.74713,                0.42593,                0.50048,                0.22265,                 1.6917,                 2.2879,                  1.543,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.4456,                  1.366,                 1.4062,                0.89041,                0.76446,                0.82987,                  0.327,                 1.7342,                 1.5368,                 1.7786,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.4737,                 1.3509,                 1.4284,                0.96996,                0.64116,                0.68649,                 0.3739,                 1.6136,                 1.8211,                 1.3828,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5431,                 1.3518,                 1.4539,                0.93696,                0.81063,                0.86614,                 0.3471,                 1.7213,                 1.5506,                 1.4095,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.4029,                 1.2677,                  1.381,                0.19525,                0.25417,                0.24727,                0.11595,                  1.621,                  2.913,                 1.4501,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.4302,                 1.2634,                 1.3897,                0.61392,                0.34551,                0.40764,                0.24472,                 1.5708,                 1.7541,                 1.4923,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.4049,                 1.1893,                  1.363,                0.64565,                0.47163,                 0.5033,                0.21061,                 1.9656,                 1.8132,                  1.495,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.4632,                 1.2967,                 1.3902,                0.84472,                0.58526,                 0.6904,                0.40455,                 1.3254,                   1.43,                 1.3133,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.3493,                  1.176,                 1.3421,                0.95553,                0.67241,                0.69235,                0.35882,                 1.5817,                 1.5429,                 1.3755,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.3983,                 1.1416,                 1.3809,                 0.8665,                0.91687,                0.93418,                0.45621,                 1.4443,                 1.1566,                 1.3107,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.3176,                  1.147,                 1.3378,                0.95011,                0.54741,                0.72726,                0.43606,                 1.2702,                 1.3384,                 1.2726,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.3526,                 1.0862,                 1.3143,                0.81188,                0.65541,                0.73758,                0.33473,                  1.831,                 1.5502,                  1.556,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.3648,                 1.0894,                 1.3047,                0.90809,                 0.6161,                0.74156,                0.30188,                 1.6915,                 1.4649,                 1.3999,              0.0011884,              0.0011884,              0.0011884
                     31,                  1.386,                 1.1446,                 1.3377,                0.87673,                0.58907,                0.77586,                0.46881,                 1.1952,                 1.0826,                 1.2322,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.3778,                 1.0599,                 1.3533,                0.59124,                0.52757,                0.53137,                0.23328,                 1.6185,                      3,                 1.5726,              0.0011554,              0.0011554,              0.0011554
                     33,                  1.352,                 1.0468,                 1.3239,                0.89745,                0.60991,                0.75042,                0.37522,                 1.4543,                 1.4852,                 1.3264,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.3262,                 1.0442,                 1.3188,                 0.8587,                0.86194,                0.86965,                 0.4558,                 1.5088,                 1.1017,                  1.428,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.3821,                  1.118,                 1.3498,                0.83869,                0.89239,                0.91929,                0.38414,                 1.6066,                 1.1029,                 1.4174,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2563,                0.99008,                 1.2759,                0.93374,                0.66199,                 0.6671,                0.36576,                 1.4543,                 2.0028,                 1.2956,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.2932,                0.98467,                 1.2979,                0.96358,                0.68282,                0.82916,                0.45172,                 1.5408,                 1.0982,                  1.378,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2877,                0.98642,                  1.298,                0.97952,                0.68282,                0.86151,                0.45784,                 1.5599,                 1.1661,                 1.3406,              0.0010564,              0.0010564,              0.0010564
                     39,                  1.281,                0.97252,                 1.2937,                0.97103,                0.68045,                0.71107,                0.46054,                 1.3681,                 1.2331,                 1.3233,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2574,                0.94187,                 1.2623,                0.98002,                0.70318,                0.71931,                 0.4621,                 1.3506,                 1.1648,                 1.3341,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2685,                0.96848,                 1.2775,                0.97791,                0.68282,                0.86499,                0.52424,                 1.1737,                0.95921,                 1.2055,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2029,                0.90258,                 1.2224,                 0.9659,                0.68131,                0.81564,                0.48663,                 1.3579,                  0.936,                  1.308,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2467,                0.87212,                 1.2536,                0.97875,                0.65157,                0.71616,                0.44804,                 1.3638,                  1.065,                 1.2764,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2625,                 0.8941,                 1.2578,                0.86258,                0.81975,                0.87857,                0.46609,                  1.516,                0.97042,                 1.3015,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2415,                0.92142,                 1.2735,                 0.7852,                0.81799,                0.85594,                0.43902,                 1.6397,                0.90464,                 1.4831,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2461,                0.90904,                 1.2846,                0.94028,                0.68282,                0.70801,                0.43939,                 1.3812,                 1.1762,                  1.328,             0.00092435,             0.00092435,             0.00092435
                     47,                   1.28,                 0.8905,                 1.2979,                0.98032,                0.68282,                0.72696,                0.45185,                 1.3446,                 1.1099,                 1.2749,             0.00090785,             0.00090785,             0.00090785
